series_id,title,season,frequency,units,notes,season_short,frequency_short,units_short,period_description,units_denomination,copyright_id,release_id,serp_title,serp_desc,notes_html
APU0400711413,"Average Price: Pears, Anjou (Cost per Pound/453.6 Grams) in the West Census Region - Urban",Not Seasonally Adjusted,Monthly,U.S. Dollars,"Fresh Anjou pears, regardless of packaging or fresh processing. Includes organic and non-organic.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm).",NSA,M,U.S. $,,1,,454,,"Fresh Anjou pears, regardless of packaging or fresh processing. Includes organic and non-organic.""","Fresh Anjou pears, regardless of packaging or fresh processing. Includes organic and non-organic.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the <a href=""https://www.bls.gov/cpi/factsheets/average-prices.htm"">Bureau of Labor Statistics</a>."
IPUEN3161P030000000,Intermediate Inputs Share for Manufacturing: Leather and Hide Tanning and Finishing (NAICS 3161) in the United States,Not Seasonally Adjusted,Annual,Percent,"Intermediate inputs share is the proportion of the total dollar value to produce output of goods and services attributed to use of intermediate inputs (energy, materials, and services).",NSA,A,%,,1,,490,,,"Intermediate inputs share is the proportion of the total dollar value to produce output of goods and services attributed to use of intermediate inputs (energy, materials, and services)."
IPUEN325T050000000,Sectoral Output Price Deflator for Manufacturing: Chemical Manufacturing (NAICS 325) in the United States,Not Seasonally Adjusted,Annual,Index 2017=100,An output deflator is an index of the change over time in the price of sectoral output relative to a base period.,NSA,A,Index 2017=100,,1,,490,,,An output deflator is an index of the change over time in the price of sectoral output relative to a base period.
IPUEN33211L010000000,Hours Worked for Manufacturing: Forging and Stamping (NAICS 33211) in the United States,Not Seasonally Adjusted,Annual,Index 2017=100,"Labor hours are measured as annual hours worked by all workers, including wage and salary workers, unincorporated self-employed workers, and unpaid family workers, in the production of goods and services.",NSA,A,Index 2017=100,,1,,490,,,"Labor hours are measured as annual hours worked by all workers, including wage and salary workers, unincorporated self-employed workers, and unpaid family workers, in the production of goods and services."
LAUCN371650000000003A,"Unemployment Rate in Scotland County, NC",Not Seasonally Adjusted,Annual,Percent,"These data come from the Current Population Survey (CPS), also known as the household survey.

Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.

Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.

Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.

The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].

For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>.",NSA,A,%,,1,,116,,,"These data come from the Current Population Survey (CPS), also known as the household survey.

Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.

Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.

Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.

The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].

For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LAUCN481130000000005A,"Employed Persons in Dallas County, TX",Not Seasonally Adjusted,Annual,Persons,"These data come from the Current Population Survey (CPS), also known as the household survey.

Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.

Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.

Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.

For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>.",NSA,A,Persons,,1,,116,,,"These data come from the Current Population Survey (CPS), also known as the household survey.

Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.

Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.

Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.

For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LAUMT372478000000004A,"Unemployed Persons in Greenville, NC (MSA)",Not Seasonally Adjusted,Annual,Persons,"These data come from the Current Population Survey (CPS), also known as the household survey.

Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.

For more details, see the release's frequently asked questions (https://www.bls.gov/lau/laufaq.htm).",NSA,A,Persons,,1,,113,,,"These data come from the Current Population Survey (CPS), also known as the household survey.

Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.

For more details, see the release's <a href=""https://www.bls.gov/lau/laufaq.htm"">frequently asked questions</a>."
SMS78000000500000026,All Employees: Total Private in the U.S. Virgin Islands,Seasonally Adjusted,Monthly,"3-Month Average Change, Thousands of Persons",,SA,M,"3-Month Average Chg., Thous. of Persons",,1000,,308,,,
LAURD880000000000004,Unemployed Persons in Mountain Census Division,Not Seasonally Adjusted,Monthly,Persons,"These data come from the Current Population Survey (CPS), also known as the household survey.

Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.

Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.

Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.

For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>.",NSA,M,Persons,,1,,116,,,"These data come from the Current Population Survey (CPS), also known as the household survey.

Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.

Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.

Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.

For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LDPEPRVSUSCOUNTY13057,"Market Hotness: Page View Count per Property Versus the United States in Cherokee County, GA",Not Seasonally Adjusted,Monthly,Ratio,"The average page view counts on realtor.com for properties in a given market divided by the average page view counts on realtor.com in the U.S.

With the release of its November 2021 housing trends report, Realtor.com® incorporated a new and improved methodology for capturing and reporting housing inventory trends and metrics. The new methodology uses the latest and most accurate data mapping of listing statuses to yield a cleaner and more consistent measurement of active listings at both the national and local level. The methodology has also been adjusted to better account for missing data in some fields including square footage. Most areas across the country will see minor changes with a smaller handful of areas seeing larger updates. As a result of these changes, the data released since December 2021 will not be directly comparable with previous data releases (files downloaded before December 2021) and Realtor.com® economics blog posts. However, future data releases, including historical data, will consistently apply the new methodology. More details are available at the source's Real Estate Data Library (https://www.realtor.com/research/data/).",NSA,M,Ratio,,1,,463,,,"The average page view counts on realtor.com for properties in a given market divided by the average page view counts on realtor.com in the U.S.

With the release of its November 2021 housing trends report, Realtor.com® incorporated a new and improved methodology for capturing and reporting housing inventory trends and metrics. The new methodology uses the latest and most accurate data mapping of listing statuses to yield a cleaner and more consistent measurement of active listings at both the national and local level. The methodology has also been adjusted to better account for missing data in some fields including square footage. Most areas across the country will see minor changes with a smaller handful of areas seeing larger updates. As a result of these changes, the data released since December 2021 will not be directly comparable with previous data releases (files downloaded before December 2021) and Realtor.com® economics blog posts. However, future data releases, including historical data, will consistently apply the new methodology. More details are available at the source's <a href=""https://www.realtor.com/research/data/"">Real Estate Data Library</a>."
LDPEPRVSUSCOUNTY40079,"Market Hotness: Page View Count per Property Versus the United States in Le Flore County, OK",Not Seasonally Adjusted,Monthly,Ratio,"The average page view counts on realtor.com for properties in a given market divided by the average page view counts on realtor.com in the U.S.

With the release of its November 2021 housing trends report, Realtor.com® incorporated a new and improved methodology for capturing and reporting housing inventory trends and metrics. The new methodology uses the latest and most accurate data mapping of listing statuses to yield a cleaner and more consistent measurement of active listings at both the national and local level. The methodology has also been adjusted to better account for missing data in some fields including square footage. Most areas across the country will see minor changes with a smaller handful of areas seeing larger updates. As a result of these changes, the data released since December 2021 will not be directly comparable with previous data releases (files downloaded before December 2021) and Realtor.com® economics blog posts. However, future data releases, including historical data, will consistently apply the new methodology. More details are available at the source's Real Estate Data Library (https://www.realtor.com/research/data/).",NSA,M,Ratio,,1,,463,,,"The average page view counts on realtor.com for properties in a given market divided by the average page view counts on realtor.com in the U.S.

With the release of its November 2021 housing trends report, Realtor.com® incorporated a new and improved methodology for capturing and reporting housing inventory trends and metrics. The new methodology uses the latest and most accurate data mapping of listing statuses to yield a cleaner and more consistent measurement of active listings at both the national and local level. The methodology has also been adjusted to better account for missing data in some fields including square footage. Most areas across the country will see minor changes with a smaller handful of areas seeing larger updates. As a result of these changes, the data released since December 2021 will not be directly comparable with previous data releases (files downloaded before December 2021) and Realtor.com® economics blog posts. However, future data releases, including historical data, will consistently apply the new methodology. More details are available at the source's <a href=""https://www.realtor.com/research/data/"">Real Estate Data Library</a>."
LFIN64TTSIA647N,Infra-Annual Labor Statistics: Persons Outside the Labor Force Total: From 15 to 64 Years for Slovenia,Not Seasonally Adjusted,Annual,Persons,"OECD Data Filters: 
REF_AREA: SVN
MEASURE: OLF
UNIT_MEASURE: PS
TRANSFORMATION: _Z
ADJUSTMENT: N
SEX: _T
AGE: Y15T64
ACTIVITY: _Z
FREQ: A

All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date)).",NSA,A,Persons,,1,,205,,,"OECD Data Filters: 
REF_AREA: SVN
MEASURE: OLF
UNIT_MEASURE: PS
TRANSFORMATION: _Z
ADJUSTMENT: N
SEX: _T
AGE: Y15T64
ACTIVITY: _Z
FREQ: A

All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or <a href=""https://data-explorer.oecd.org/"">https://data-explorer.oecd.org/</a>. (accessed on (date))."
